文件名,特征,特征面数,打标签数量,准确率(%)
GFR_01907 , boss ,68,68,100.0
GFR_01907 , contact ,51,51,100.0
GFR_01907 , rib ,32,32,100.0
GFR_01906 , clip ,179,179,100.0
GFR_01906 , boss ,203,203,100.0
GFR_01906 , contact ,12,12,100.0
GFR_01916 , contact ,116,116,100.0
GFR_01905 , rib ,73,73,100.0
GFR_01905 , contact ,12,12,100.0
GFR_01905 , clip ,177,177,100.0
GFR_01905 , boss ,200,200,100.0
GFR_01904 , clip ,178,178,100.0
GFR_01904 , rib ,82,82,100.0
GFR_01908 , contact ,175,175,100.0
GFR_01876 , rib ,27,27,100.0
GFR_01909 , contact ,280,280,100.0
GFR_01910 , rib ,141,141,100.0
GFR_01910 , contact ,28,28,100.0
GFR_01910 , clip ,865,865,100.0
GFR_01912 , rib ,126,126,100.0
GFR_01912 , contact ,24,24,100.0
GFR_01913 , clip ,832,832,100.0
GFR_01913 , contact ,120,120,100.0
GFR_01913 , rib ,73,73,100.0
GFR_01914 , rib ,61,61,100.0
GFR_01914 , contact ,546,546,100.0
GFR_01914 , clip ,353,353,100.0
GFR_01914 , boss ,75,75,100.0
GFR_01916 , boss ,54,54,100.0
GFR_01916 , clip ,208,208,100.0
GFR_01878 , rib ,28,28,100.0
GFR_01870 , clip ,46,46,100.0
GFR_01875 , rib ,27,27,100.0
GFR_01811 , clip ,21,21,100.0
GFR_01814 , boss ,35,35,100.0
GFR_01814 , clip ,31,31,100.0
GFR_01813 , clip ,94,94,100.0
GFR_01813 , contact ,33,33,100.0
GFR_01813 , rib ,68,68,100.0
GFR_01812 , contact ,20,20,100.0
GFR_01812 , rib ,67,67,100.0
GFR_01812 , clip ,21,21,100.0
GFR_01811 , rib ,67,67,100.0
GFR_01803 , clip ,50,50,100.0
GFR_01811 , contact ,20,20,100.0
GFR_01809 , clip ,99,99,100.0
GFR_01808 , clip ,8,8,100.0
GFR_01807 , rib ,80,80,100.0
GFR_01807 , clip ,8,8,100.0
GFR_01806 , clip ,8,8,100.0
GFR_01805 , clip ,8,8,100.0
GFR_01804 , contact ,40,40,100.0
GFR_01814 , rib ,103,103,100.0
GFR_01814 , contact ,72,72,100.0
GFR_01815 , clip ,117,117,100.0
GFR_01815 , contact ,28,28,100.0
GFR_01822 , boss ,10,10,100.0
GFR_01821 , rib ,141,141,100.0
GFR_01821 , clip ,36,36,100.0
GFR_01820 , rib ,82,82,100.0
GFR_01820 , clip ,31,31,100.0
GFR_01820 , boss ,37,37,100.0
GFR_01819 , contact ,35,35,100.0
GFR_01819 , rib ,68,68,100.0
